Starting network capture...
<< 200 https://spimgv1.i-mobile.co.jp/a4615/01K4991D41AB59DKX545C6G97X/main.gif
<< 200 https://www.googletagmanager.com/gtag/js?id=G-2N6FWLT5X4&cx=c&_slc=1
>> POST https://www.google-analytics.com/g/collect?v=2&tid=G-2N6FWLT5X4&gtm=45je5bi1v9123200785za200&_p=1763805720727&gcd=13l3l3l3l2l1&npa=0&dma=0&ul=ja-jp&sr=1280x720&cid=1217667305.1763805721&uaa=x86&uab=64&uafvl=Not)A%253BBrand%3B8.0.0.0%7CChromium%3B138.0.7204.23%7CHeadlessChrome%3B138.0.7204.23&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=ABAI&_s=1&tag_exp=103116026~103200004~104527907~104528500~104684208~104684211~115583767~115938466~115938469~116184927~116184929~116217636~116217638&dl=https%3A%2F%2Fdrrrkari.com%2F&dt=%E3%83%87%E3%83%A5%E3%83%A9%E3%83%A9%E3%83%A9%E3%83%81%E3%83%A3%E3%83%83%E3%83%88(%E4%BB%AE)&sid=1763805722&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=1&_ss=1&_ee=1&tfd=5599
>> GET https://xid.i-mobile.co.jp/RestoreXidToMediaStorage.html
>> POST https://drrrkari.com/cdn-cgi/rum?
>> POST https://drrrkari.com/cdn-cgi/rum?
>> POST https://drrrkari.com/
<< 200 https://syndication.twitter.com/settings?session_id=93a6b4ed0996a689442b838556aadb6296c1db12
>> GET https://platform.twitter.com/js/button.856debeac157d9669cf51e73a08fbc93.js
<< 204 https://drrrkari.com/cdn-cgi/rum?
<< 204 https://drrrkari.com/cdn-cgi/rum?
<< 302 https://drrrkari.com/
>> GET https://drrrkari.com/lounge/
<< 200 https://platform.twitter.com/js/button.856debeac157d9669cf51e73a08fbc93.js
>> GET https://platform.twitter.com/widgets/tweet_button.2f70fb173b9000da126c79afe2098f02.en.html
>> GET https://syndication.twitter.com/i/jot/embeds?l=%7B%22widget_origin%22%3A%22https%3A%2F%2Fdrrrkari.com%2F%22%2C%22widget_frame%22%3Afalse%2C%22language%22%3A%22en%22%2C%22message%22%3A%22l%3Anocount%3A%22%2C%22_category_%22%3A%22tfw_client_event%22%2C%22triggered_on%22%3A1763805722220%2C%22dnt%22%3Afalse%2C%22client_version%22%3A%222615f7e52b7e0%3A1702314776716%22%2C%22format_version%22%3A1%2C%22event_namespace%22%3A%7B%22client%22%3A%22tfw%22%2C%22page%22%3A%22button%22%2C%22section%22%3A%22share%22%2C%22action%22%3A%22impression%22%7D%7D&session_id=93a6b4ed0996a689442b838556aadb6296c1db12
<< 204 https://www.google-analytics.com/g/collect?v=2&tid=G-2N6FWLT5X4&gtm=45je5bi1v9123200785za200&_p=1763805720727&gcd=13l3l3l3l2l1&npa=0&dma=0&ul=ja-jp&sr=1280x720&cid=1217667305.1763805721&uaa=x86&uab=64&uafvl=Not)A%253BBrand%3B8.0.0.0%7CChromium%3B138.0.7204.23%7CHeadlessChrome%3B138.0.7204.23&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=ABAI&_s=1&tag_exp=103116026~103200004~104527907~104528500~104684208~104684211~115583767~115938466~115938469~116184927~116184929~116217636~116217638&dl=https%3A%2F%2Fdrrrkari.com%2F&dt=%E3%83%87%E3%83%A5%E3%83%A9%E3%83%A9%E3%83%A9%E3%83%81%E3%83%A3%E3%83%83%E3%83%88(%E4%BB%AE)&sid=1763805722&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=1&_ss=1&_ee=1&tfd=5599
<< 200 https://platform.twitter.com/widgets/tweet_button.2f70fb173b9000da126c79afe2098f02.en.html
<< 200 https://xid.i-mobile.co.jp/RestoreXidToMediaStorage.html
<< 200 https://drrrkari.com/lounge/
>> POST https://drrrkari.com/cdn-cgi/rum?
>> GET https://maxcdn.bootstrapcdn.com/bootswatch/3.2.0/cyborg/bootstrap.min.css
<< 200 https://maxcdn.bootstrapcdn.com/bootswatch/3.2.0/cyborg/bootstrap.min.css
>> GET https://drrrkari.com/css/default2.css?20250428024
>> GET https://ajax.googleapis.com/ajax/libs/jqueryui/1/themes/ui-lightness/jquery-ui.css
>> GET https://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css
>> GET https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js
<< 200 https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js
>> GET https://www.google.com/jsapi
>> GET https://drrrkari.com/js/jquery.cookie.js
>> GET https://maxcdn.bootstrapcdn.com/bootstrap/3.2.0/js/bootstrap.min.js
<< 200 https://maxcdn.bootstrapcdn.com/bootstrap/3.2.0/js/bootstrap.min.js
>> GET https://drrrkari.com/kari002.png
<< 200 https://drrrkari.com/kari002.png
>> GET https://spdeliver.i-mobile.co.jp/script/ads.js?20101001
<< 200 https://spdeliver.i-mobile.co.jp/script/ads.js?20101001
>> GET https://drrrkari.com/css/icon_bakyura.png
<< 200 https://drrrkari.com/css/icon_bakyura.png
>> GET https://drrrkari.com/css/icon_twin.png
>> GET https://drrrkari.com/css/icon_bear.png
<< 200 https://drrrkari.com/css/icon_bear.png
>> GET https://drrrkari.com/css/icon_bm.png
<< 200 https://drrrkari.com/css/icon_bm.png
>> GET https://drrrkari.com/css/icon_rab.png
<< 200 https://drrrkari.com/css/icon_rab.png
>> GET https://drrrkari.com/css/icon_purple.png
<< 200 https://drrrkari.com/css/icon_purple.png
>> GET https://drrrkari.com/css/icon_muff.png
<< 200 https://drrrkari.com/css/icon_muff.png
>> GET https://drrrkari.com/css/icon_muff_nyan.png
<< 200 https://drrrkari.com/css/icon_muff_nyan.png
>> GET https://drrrkari.com/css/icon_numakuro.png
<< 200 https://drrrkari.com/css/icon_numakuro.png
>> GET https://drrrkari.com/css/icon_girl.png
<< 200 https://drrrkari.com/css/icon_girl.png
>> GET https://drrrkari.com/css/icon_setton.png
<< 200 https://drrrkari.com/css/icon_setton.png
>> GET https://drrrkari.com/css/icon_zawa.png
<< 200 https://drrrkari.com/css/icon_zawa.png
>> GET https://drrrkari.com/css/icon_nyan.png
<< 200 https://drrrkari.com/css/icon_nyan.png
>> GET https://drrrkari.com/css/icon_gg.png
<< 200 https://drrrkari.com/css/icon_gg.png
>> GET https://drrrkari.com/css/icon_tanaka.png
<< 200 https://drrrkari.com/css/icon_tanaka.png
>> GET https://imp-adedge.i-mobile.co.jp/script/v1/spot.js?20220104
>> GET https://nana-get-the-happiness.com/wp-content/uploads/banner.png
<< 200 https://nana-get-the-happiness.com/wp-content/uploads/banner.png
>> GET https://drrrkari.com/css/icon_neko.png
<< 200 https://drrrkari.com/css/icon_neko.png
>> GET https://drrrkari.com/css/icon_kai.png
<< 200 https://drrrkari.com/css/icon_kai.png
>> GET https://drrrkari.com/css/icon_moza.png
<< 200 https://drrrkari.com/css/icon_moza.png
>> GET https://drrrkari.com/css/icon_neko2.png
<< 200 https://drrrkari.com/css/icon_neko2.png
>> GET https://drrrkari.com/css/icon_orange.png
<< 200 https://drrrkari.com/css/icon_orange.png
>> GET https://drrrkari.com/css/icon_usa.png
<< 200 https://drrrkari.com/css/icon_usa.png
>> GET https://drrrkari.com/css/icon_kanra.png
<< 200 https://drrrkari.com/css/icon_kanra.png
>> GET https://drrrkari.com/css/icon_zaika.png
<< 200 https://drrrkari.com/css/icon_zaika.png
>> GET https://adm.shinobi.jp/s/acb8810537dfecf8cf93d9c4c1b0670a
>> GET https://static.cloudflareinsights.com/beacon.min.js/vcd15cbe7772f49c399c6a5babf22c1241717689176015
<< 200 https://static.cloudflareinsights.com/beacon.min.js/vcd15cbe7772f49c399c6a5babf22c1241717689176015
>> GET https://fonts.googleapis.com/css?family=Droid+Sans:400,700
<< 200 https://fonts.googleapis.com/css?family=Droid+Sans:400,700
<< 200 https://ajax.googleapis.com/ajax/libs/jqueryui/1/themes/ui-lightness/jquery-ui.css
<< 200 https://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css
<< 200 https://drrrkari.com/css/default2.css?20250428024
<< 200 https://drrrkari.com/css/icon_twin.png
<< 200 https://drrrkari.com/js/jquery.cookie.js
>> GET https://www.google-analytics.com/analytics.js
<< 200 https://www.google-analytics.com/analytics.js
>> POST https://www.google-analytics.com/j/collect?v=1&_v=j102&a=1780942133&t=pageview&_s=1&dl=https%3A%2F%2Fdrrrkari.com%2Flounge%2F&ul=ja-jp&dt=%E3%83%87%E3%83%A5%E3%83%A9%E3%83%A9%E3%83%A9%E3%83%81%E3%83%A3%E3%83%83%E3%83%88(%E4%BB%AE)&sr=1280x720&vp=1280x720&_u=AACAAEABAAAAACAAI~&jid=&gjid=&cid=1217667305.1763805721&tid=UA-53341711-1&_gid=159771557.1763805721&_slc=1&z=982443621
<< 200 https://www.google-analytics.com/j/collect?v=1&_v=j102&a=1780942133&t=pageview&_s=1&dl=https%3A%2F%2Fdrrrkari.com%2Flounge%2F&ul=ja-jp&dt=%E3%83%87%E3%83%A5%E3%83%A9%E3%83%A9%E3%83%A9%E3%83%81%E3%83%A3%E3%83%83%E3%83%88(%E4%BB%AE)&sr=1280x720&vp=1280x720&_u=AACAAEABAAAAACAAI~&jid=&gjid=&cid=1217667305.1763805721&tid=UA-53341711-1&_gid=159771557.1763805721&_slc=1&z=982443621
>> GET https://www.googletagmanager.com/gtag/js?id=G-2N6FWLT5X4&cx=c&_slc=1
<< 200 https://www.googletagmanager.com/gtag/js?id=G-2N6FWLT5X4&cx=c&_slc=1
<< 301 https://www.google.com/jsapi
>> GET https://www.gstatic.com/charts/loader.js
<< 200 https://adm.shinobi.jp/s/acb8810537dfecf8cf93d9c4c1b0670a
<< 200 https://imp-adedge.i-mobile.co.jp/script/v1/spot.js?20220104
<< 200 https://www.gstatic.com/charts/loader.js
>> GET https://spdeliver.i-mobile.co.jp/script/adcore_pc_inline.js?20110201
<< 200 https://spdeliver.i-mobile.co.jp/script/adcore_pc_inline.js?20110201
>> GET https://spsvcpc-tls.i-mobile.co.jp/ad_spot.aspx?pid=36163&asid=1710099&asn=1&width=728&height=90
>> GET https://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/fonts/fontawesome-webfont.woff?v=4.2.0
>> GET https://imp-bidapi.i-mobile.co.jp/api/v1/spot.ashx?ver=1.2.41&type=banner&url=https://drrrkari.com/lounge/&direct=1&fif=0&sf=0&cof=0&dfp=0&amp=0&sp=0&ios=0&pid=36163&mid=142374&asid=1897002&spec=0&nemu=0
>> GET https://adm.shinobi.jp/st/s.js
>> GET https://drrrkari.com/css/bg_button_a.gif
>> GET https://drrrkari.com/css/bg_button_span.gif
<< 200 https://spsvcpc-tls.i-mobile.co.jp/ad_spot.aspx?pid=36163&asid=1710099&asn=1&width=728&height=90
<< 302 https://adm.shinobi.jp/st/s.js
>> GET https://cnobi.jp/v1/admax/ssp/js/s/17.js
>> GET https://spsvcpc-tls.i-mobile.co.jp/css/style.css
<< 200 https://spsvcpc-tls.i-mobile.co.jp/css/style.css
>> GET https://spimgv1.i-mobile.co.jp/a13936/01K7NTWN64J3CTXESDP05T54MP/main.jpg
<< 200 https://drrrkari.com/css/bg_button_span.gif
<< 200 https://drrrkari.com/css/bg_button_a.gif
<< 200 https://spimgv1.i-mobile.co.jp/a13936/01K7NTWN64J3CTXESDP05T54MP/main.jpg
<< 200 https://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/fonts/fontawesome-webfont.woff?v=4.2.0
<< 200 https://imp-bidapi.i-mobile.co.jp/api/v1/spot.ashx?ver=1.2.41&type=banner&url=https://drrrkari.com/lounge/&direct=1&fif=0&sf=0&cof=0&dfp=0&amp=0&sp=0&ios=0&pid=36163&mid=142374&asid=1897002&spec=0&nemu=0
>> GET https://dmp.im-apps.net/sdk/im-uid.js
<< 200 https://cnobi.jp/v1/admax/ssp/js/s/17.js
>> GET https://adm.shinobi.jp/sync?callback=window.__admax_render__.render_sync&sc=1
>> GET https://adm.shinobi.jp/b/acb8810537dfecf8cf93d9c4c1b0670a?sid=eduxxf477&url=https%3A%2F%2Fdrrrkari.com%2Flounge%2F&referrer=https%3A%2F%2Fdrrrkari.com%2F&du=https%3A%2F%2Fdrrrkari.com%2Flounge%2F&if=false&ic=false&olp=&fv=false&bid=29bd5653-d2d7-484e-b91b-1e08bfa4cea6&callback=window.__admax_render__.render_banner&sc=1&tm=0&rand=83442377583
>> GET https://spnativeapi-tls.i-mobile.co.jp/api/ad_spot.ashx?partnerId=36163&mediaId=142374&spotId=1897002&asn=1&num=7&callback=imobile_jsonp_callback_799afd0668fd&tagv=1.2.41&referer=https://drrrkari.com/lounge/
<< 200 https://adm.shinobi.jp/sync?callback=window.__admax_render__.render_sync&sc=1
>> GET https://sync.shinobi.jp/v2/sync/control
>> GET https://x.bidswitch.net/sync?ssp=admax
>> GET https://bypass.ad-stir.com/push_sync?xid=admax
>> GET https://tr.dsp.bance.jp/dsp-track/sync?sid=3
>> GET https://sync.fout.jp/sync?xid=ninja
<< 200 https://adm.shinobi.jp/b/acb8810537dfecf8cf93d9c4c1b0670a?sid=eduxxf477&url=https%3A%2F%2Fdrrrkari.com%2Flounge%2F&referrer=https%3A%2F%2Fdrrrkari.com%2F&du=https%3A%2F%2Fdrrrkari.com%2Flounge%2F&if=false&ic=false&olp=&fv=false&bid=29bd5653-d2d7-484e-b91b-1e08bfa4cea6&callback=window.__admax_render__.render_banner&sc=1&tm=0&rand=83442377583
>> GET https://pb.shinobi.jp/st/r.js
>> GET https://pb.shinobi.jp/t/59d1b35774724100170d9727?rid=f7dc9203-c9c9-431c-9829-d01663b49f22&skey=acb8810537dfecf8cf93d9c4c1b0670a&site=http%3A%2F%2Fdrrrkari.com%2F
>> GET https://adm.shinobi.jp/ib?c=8Hq-YevJR9E40rV5FD1yFfEeIC-H1G8huzMe7xE1SdsZcgvrUrqXKTNDlqV9tAncVO6zPaK1em67jB7-fJpkTtBuOS1R7GRA-NAmbqsc6vffcbLFcXDD9BYMolFJbrYFaMZnsP_kSvxCcKeSBSNZrqq5jNtcdZgweanW9VUF_RB5RGCtx-KAJA2qS99VMK3Aj5b1PEZTcz3Qn0v4Pr-yPTpdTHI_Vt9N7LzCIXUsxKvoJg9QHa_sJ1GO3ecAxb8IjXIBhMnPYc19hCzbAovFxgf0MziNpf6CJ66FFWISxl28eHtFwZ0xrg&i=dLTSQ9d7
<< 200 https://adm.shinobi.jp/ib?c=8Hq-YevJR9E40rV5FD1yFfEeIC-H1G8huzMe7xE1SdsZcgvrUrqXKTNDlqV9tAncVO6zPaK1em67jB7-fJpkTtBuOS1R7GRA-NAmbqsc6vffcbLFcXDD9BYMolFJbrYFaMZnsP_kSvxCcKeSBSNZrqq5jNtcdZgweanW9VUF_RB5RGCtx-KAJA2qS99VMK3Aj5b1PEZTcz3Qn0v4Pr-yPTpdTHI_Vt9N7LzCIXUsxKvoJg9QHa_sJ1GO3ecAxb8IjXIBhMnPYc19hCzbAovFxgf0MziNpf6CJ66FFWISxl28eHtFwZ0xrg&i=dLTSQ9d7
<< 200 https://dmp.im-apps.net/sdk/im-uid.js
>> GET https://audiencedata.im-apps.net/imuid/get?cid=1012275&vid=01KANG724C6V7FM4MP90Y63RWW
>> GET https://audiencedata.im-apps.net/imuid/get?cid=1021172&vid=01KANG724C6V7FM4MP90Y63RWW
<< 302 https://pb.shinobi.jp/st/r.js
>> GET https://cnobi.jp/v1/admax/pb/js/r/1.js
<< 200 https://pb.shinobi.jp/t/59d1b35774724100170d9727?rid=f7dc9203-c9c9-431c-9829-d01663b49f22&skey=acb8810537dfecf8cf93d9c4c1b0670a&site=http%3A%2F%2Fdrrrkari.com%2F
<< 200 https://tr.dsp.bance.jp/dsp-track/sync?sid=3
<< 200 https://sync.shinobi.jp/v2/sync/control
>> GET https://sync.shinobi.jp/v2/sync/multi?1763805727119
<< 200 https://sync.fout.jp/sync?xid=ninja
<< 200 https://spnativeapi-tls.i-mobile.co.jp/api/ad_spot.ashx?partnerId=36163&mediaId=142374&spotId=1897002&asn=1&num=7&callback=imobile_jsonp_callback_799afd0668fd&tagv=1.2.41&referer=https://drrrkari.com/lounge/
>> GET https://spimgv1.i-mobile.co.jp/a4615/01K8AMY5KBNY7ZSB3Z7BC615DN/main.gif
>> GET https://spnativeapi-direct.i-mobile.co.jp/api/ad_imp_count.ashx?pid=36163&mid=142374&asid=1897002&advid=7365308&asn=1
>> GET https://spimgv1.i-mobile.co.jp/shared/opt-i.png
<< 302 https://bypass.ad-stir.com/push_sync?xid=admax
>> GET https://adm.shinobi.jp/bypass/sync?buid=c8f46a0f-b5c8-49e3-9e50-7edf3bb1f812
<< 200 https://spimgv1.i-mobile.co.jp/a4615/01K8AMY5KBNY7ZSB3Z7BC615DN/main.gif
<< 302 https://x.bidswitch.net/sync?ssp=admax
>> GET https://x.bidswitch.net/ul_cb/sync?ssp=admax
<< 200 https://cnobi.jp/v1/admax/pb/js/r/1.js
>> GET https://static.criteo.net/js/ld/publishertag.js
>> GET https://pb.shinobi.jp/fr?c=g6lSZXF1ZXN0SUTZJGY3ZGM5MjAzLWM5YzktNDMxYy05ODI5LWQwMTY2M2I0OWYyMqZUYWdLZXmzc3NwLWRlZmF1bHQtMTYweDYwMKlGaWxsZXJLZXmxc3NwLWRmLTE2MC1jcml0ZW8%3D
<< 200 https://sync.shinobi.jp/v2/sync/multi?1763805727119
>> GET https://sync.shinobi.jp/v2/sync/multi/1001?1763805727335
>> GET https://sync.shinobi.jp/v2/sync/multi/1762?1763805727335
>> GET https://sync.shinobi.jp/v2/sync/multi/2736?1763805727335
<< 200 https://spimgv1.i-mobile.co.jp/shared/opt-i.png
<< 302 https://adm.shinobi.jp/bypass/sync?buid=c8f46a0f-b5c8-49e3-9e50-7edf3bb1f812
>> GET https://bypass.ad-stir.com/receive_sync?ssp=admax&uid=9c21408d-e82a-41bb-9818-714547bff193
<< 200 https://pb.shinobi.jp/fr?c=g6lSZXF1ZXN0SUTZJGY3ZGM5MjAzLWM5YzktNDMxYy05ODI5LWQwMTY2M2I0OWYyMqZUYWdLZXmzc3NwLWRlZmF1bHQtMTYweDYwMKlGaWxsZXJLZXmxc3NwLWRmLTE2MC1jcml0ZW8%3D
<< 302 https://sync.shinobi.jp/v2/sync/multi/1001?1763805727335
>> GET https://adm.shinobi.jp/chikayo/cookiesync?uid=19c4f314-7192-423e-9762-8fbae7c6f974
<< 302 https://x.bidswitch.net/ul_cb/sync?ssp=admax
>> GET https://gw-iad-bid.ymmobi.com/adx/user/sync?pubid=eWg=&gdpr=&gdpr_consent=&us_privacy=&bidswitch_ssp_id=admax&bsw_custom_parameter=ef0b389b-28af-47e9-867c-91e092ac1252&callback=https%3A%2F%2Fx.bidswitch.net%2Fsync%3Fdsp_id%3D257
<< 200 https://sync.shinobi.jp/v2/sync/multi/2736?1763805727335
<< 302 https://sync.shinobi.jp/v2/sync/multi/1762?1763805727335
>> GET https://sync.im-apps.net/imid/set?cid=10338&tid=sid&uid=19c4f314-7192-423e-9762-8fbae7c6f974
<< 200 https://bypass.ad-stir.com/receive_sync?ssp=admax&uid=9c21408d-e82a-41bb-9818-714547bff193
<< 200 https://adm.shinobi.jp/chikayo/cookiesync?uid=19c4f314-7192-423e-9762-8fbae7c6f974
>> POST https://www.google-analytics.com/g/collect?v=2&tid=G-2N6FWLT5X4&gtm=45je5bi1v9123200785za200&_p=1763805722937&gcd=13l3l3l3l2l1&npa=0&dma=0&ul=ja-jp&sr=1280x720&cid=1217667305.1763805721&uaa=x86&uab=64&uafvl=Not)A%253BBrand%3B8.0.0.0%7CChromium%3B138.0.7204.23%7CHeadlessChrome%3B138.0.7204.23&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=ABAIAAQ&_s=1&tag_exp=103116026~103200004~104527906~104528500~104684208~104684211~105322302~115583767~115938465~115938468~116184927~116184929~116217636~116217638&dl=https%3A%2F%2Fdrrrkari.com%2Flounge%2F&dt=%E3%83%87%E3%83%A5%E3%83%A9%E3%83%A9%E3%83%A9%E3%83%81%E3%83%A3%E3%83%83%E3%83%88(%E4%BB%AE)&sid=1763805722&sct=1&seg=1&_tu=wAQ&en=page_view&_ee=1&tfd=5859
<< 200 https://spnativeapi-direct.i-mobile.co.jp/api/ad_imp_count.ashx?pid=36163&mid=142374&asid=1897002&advid=7365308&asn=1
<< 204 https://www.google-analytics.com/g/collect?v=2&tid=G-2N6FWLT5X4&gtm=45je5bi1v9123200785za200&_p=1763805722937&gcd=13l3l3l3l2l1&npa=0&dma=0&ul=ja-jp&sr=1280x720&cid=1217667305.1763805721&uaa=x86&uab=64&uafvl=Not)A%253BBrand%3B8.0.0.0%7CChromium%3B138.0.7204.23%7CHeadlessChrome%3B138.0.7204.23&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=ABAIAAQ&_s=1&tag_exp=103116026~103200004~104527906~104528500~104684208~104684211~105322302~115583767~115938465~115938468~116184927~116184929~116217636~116217638&dl=https%3A%2F%2Fdrrrkari.com%2Flounge%2F&dt=%E3%83%87%E3%83%A5%E3%83%A9%E3%83%A9%E3%83%A9%E3%83%81%E3%83%A3%E3%83%83%E3%83%88(%E4%BB%AE)&sid=1763805722&sct=1&seg=1&_tu=wAQ&en=page_view&_ee=1&tfd=5859
